word,value,count
brilliance,80,1
Buddhist,118,1
burnest,120,1
burns,98,1
burnt,92,1
business,127,1
buy,63,1
cakes,52,1
calling,44,1
calls,24,1
cannot,74,1
care,34,1
caress,64,1
caressed,100,1
catch,21,1
cattle,39,1
centres,90,1
certain,67,1
certainty,94,1
charge,48,1
chaste,47,1
chief,30,1
circumference,155,1
City,29,1
claws,31,1
clear,35,1
clerk-house,113,1
cluster,79,1
coiling,48,1
cold,36,1
company,84,1
complement,118,1
Concubine,120,1
confound,130,1
Conquer,104,1
conqueror,128,1
Conquest,114,1
consciousness,170,1
console,75,1
consoled,98,1
consoler,89,1
consume,110,1
contents,106,1
continuity,121,1
convert,94,1
convey,89,1
Coph,19,1
copy,34,1
core,39,1
count,70,1
courage,80,1
cowards,77,1
cower,47,1
crapulous,101,1
crawl,30,1
creation,77,1
creeds,80,1
creeping,81,1
cries,44,1
cross,56,1
crown,58,1
crushed,95,1
cry,34,1
cube,60,1
curses,84,1
damn,73,1
dare,55,1
dark,59,1
daughter,103,1
days,61,1
deadlier,92,1
deal,42,1
decided,97,1
defunct,108,1
delicacy,64,1
delicious,89,1
delivered,122,1
demand,109,1
deny,78,1
depart,68,1
desert,87,1
desirable,104,1
desires,93,1
Desolation,110,1
devour,107,1
dew,44,1
didst,70,1
Din,47,1
dine,60,1
dire,50,1
direful,88,1
disappear,83,1
discover,99,1
discuss,95,1
disposed,103,1
disregards,133,1
dissolve,99,1
Divide,81,1
divine,82,1
Dost,57,1
doth,45,1
Double,92,1
double-wanded,188,1
doubt,87,1
dove,68,1
Drag,53,1
drawn,74,1
dread,78,1
dress,80,1
droop,61,1
dropping,90,1
drugs,88,1
drunk,103,1
Dung,83,1
dusk,80,1
dust,72,1
dwell,46,1
dying,76,1
eagerly,75,1
earnestly,112,1
eating,62,1
egg,35,1
eighteen,86,1
Eighties,64,1
eighty,54,1
elements,109,1
else,42,1
emblems,104,1
emphatically,82,1
empty,65,1
ending,95,1
enginery,117,1
enjoy,72,1
enter,73,1
enthroned,133,1
entrap,69,1
equation,102,1
especial,53,1
eternal,79,1
Eternity,100,1
everywhere,131,1
evil,36,1
exalt,34,1
excellent,82,1
exhaust,76,1
exhausted,112,1
Exorcist,69,1
expected,83,1
expiration,85,1
exposure,100,1
expound,105,1
extended,124,1
eyesight,82,1
face,32,1
factor,52,1
fade,53,1
faery,62,1
fail,18,1
failure,70,1
faint,50,1
faith,29,1
Fates,54,1
feasts,69,1
feet,47,1
fell,27,1
fellows,60,1
fever,74,1
few,33,1
fierce,54,1
fifth,36,1
fifty,51,1
Five,47,1
flaming,74,1
flap,22,1
flow,31,1
flowers,73,1
fly,31,1
foam,48,1
fold,46,1
foods,70,1
foolish,51,1
forbid,79,1
forest,73,1
forge,60,1
forsaken,110,1
forth-speaker,129,1
Forties,73,1
Fortify,75,1
fortress,102,1
found,94,1
fourfold,107,1
foursquare,149,1
fourth,73,1
friends,101,1
full,39,1
fullness,106,1
further,90,1
G,11,1
garment,97,1
garments,112,1
gemmèd,102,1
Get,33,1
girders,90,1
girt,34,1
giver,60,1
gives,61,1
giveth,58,1
gladness,107,1
glass,47,1
gleam,51,1
globe,55,1
globèd,78,1
glorious,86,1
good,54,1
goodly,73,1
goods,69,1
Grades,81,1
grave,65,1
green,75,1
greet,60,1
gross,65,1
group,64,1
gums,72,1
Ha,8,1
hands,70,1
hangs,58,1
Harder,72,1
hardly,64,1
harlot,42,1
harm,43,1
Hawk’s,48,1
headdress,124,1
Hear,35,1
Heathen,70,1
Hell’s,33,1
here,43,1
Hermit,60,1
hermits,75,1
herself,71,1
Heru-pa-kraath,117,1
Heru-ra-ha,82,1
Hierophant,85,1
Hierophantic,87,1
higher,44,1
himself,65,1
Ho,13,1
holier,41,1
homeward,97,1
honey,68,1
honour,86,1
Hoor-pa-kraat,96,1
Hoor-paar-kraat,115,1
hope,30,1
host,37,1
how,21,1
Hrumachis,88,1
hundred,125,1
hurting,86,1
ill-ordered,112,1
images,65,1
indeed,96,1
Indian,76,1
initiating,82,1
innermost,130,1
innocence,112,1
inspiration,105,1
inspired,93,1
intellect,72,1
intimate,81,1
inviolate,84,1
island,68,1
itself,50,1
jasmine,85,1
jasper,58,1
Jesus,75,1
Jews,43,1
judgments,148,1
just,56,1
K,17,1
Ka,22,1
Kaaba,52,1
keen,67,1
Khephra,59,1
Khuit,54,1
Khut,54,1
Kiblah,46,1
kin,41,1
kinsfolk,96,1
kissing,82,1
knew,62,1
knewest,99,1
knower,86,1
knoweth,84,1
knowing,94,1
laid,29,1
lambent,93,1
languor,90,1
lapis,25,1
large,44,1
laughterful,119,1
lazuli,51,1
leaping,58,1
leavings,91,1
length,61,1
liars,35,1
lifted,58,1
Lighten,61,1
lightening,96,1
like,31,1
likest,55,1
limbs,57,1
line,38,1
listen,62,1
lithe,26,1
lives,51,1
loathing,63,1
locked,66,1
longer,73,1
longing,81,1
lords,63,1
lose,39,1
loud,59,1
love-chant,89,1
love-song,106,1
Lurk,57,1
lying,54,1
M,21,1
Magician,68,1
magnificent,121,1
makest,80,1
mantras,93,1
manyhood,114,1
Mary,58,1
mask,58,1
masked,94,1
masses,84,1
matter,71,1
meal,40,1
meanest,100,1
meaneth,88,1
meaning,98,1
meetest,93,1
meetings,106,1
Mercy,68,1
mere,61,1
Middle,81,1
midnight,91,1
might,44,1
mightier,71,1
mighty,62,1
million,57,1
mingle,70,1
minister,96,1
miraculous,118,1
misery,81,1
miss,51,1
mistake,80,1
mix,27,1
mockers,92,1
modest,91,1
Mohammed,117,1
Money,86,1
Mongol,77,1
monthly,86,1
Moreover,117,1
mountain,118,1
multiply,79,1
mystic,65,1
mystical,71,1
naming,85,1
nations,87,1
neither,76,1
nemyss,106,1
new,45,1
Nia,29,1
nigh,38,1
night-blue,106,1
night-sky,97,1
night-stars,105,1
nine,61,1
ninety,88,1
nowhere,85,1
obeah,51,1
Obey,61,1
object,61,1
obtain,68,1
odds,71,1
off,34,1
Oh,13,1
olive,46,1
omnipresence,153,1
Ompehda,79,1
once,49,1
original,65,1
orison,73,1
others,64,1
outcast,75,1
overcome,105,1
overmuch,110,1
oversee,100,1
overthrow,103,1
Ox,16,1
P,4,1
Pale,23,1
pall,11,1
particle,48,1
passionate,100,1
Paste,46,1
peck,36,1
penetrant,115,1
peoples,60,1
perchance,80,1
performed,124,1
peril,32,1
pestilence,94,1
pillars,40,1
pinnacles,88,1
pit,13,1
play,28,1
Pointed,83,1
poor,38,1
position,72,1
pour,53,1
poured,89,1
poverty,90,1
powerful,87,1
precious,83,1
presence,98,1
presently,111,1
priestess,98,1
prince-priest,112,1
printed,87,1
professional,123,1
promise,77,1
promises,92,1
prophets,72,1
protect,61,1
purged,90,1
purpose,85,1
push,47,1
Put,38,1
quarter,96,1
quarters,111,1
questions,127,1
quickly,79,1
Ra-Hoor-Khu-it,110,1
Ra-Hoor-Khut,110,1
Ra’s,34,1
rain,43,1
rapid,46,1
rapturous,121,1
rare,46,1
rays,52,1
readeth,80,1
reading,90,1
ready,73,1
redeem,97,1
refine,76,1
refuge,88,1
regenerate,129,1
regret,74,1
reign,62,1
rejoicing,81,1
remain,77,1
reproduction,148,1
resinous,116,1
rest,51,1
Restriction,110,1
result,77,1
revealing,103,1
reverence,128,1
rightly,56,1
rise,42,1
risk,46,1
robe,57,1
rose,52,1
royal,48,1
rules,68,1
run,63,1
runes,91,1
S,15,1
saith,32,1
says,53,1
scents,78,1
seal,34,1
secure,82,1
seeing,76,1
seem,62,1
seen,65,1
seeth,53,1
self,41,1
self-slain,86,1
send,75,1
serve,77,1
