word,value
Dominus,118
done,70
door,57
Doric,49
dost,57
doth,45
double,92
double-wanded,188
Doubt,87
dove,68
dower,68
down,65
Drag,53
dragon,87
drain,66
drained,102
drank,83
draught,90
drave,77
draw,50
draweth,75
drawn,74
dread,78
dreadful,116
dream,76
dreamt,85
dregs,76
drenched,115
dress,80
drink,78
drinketh,103
drive,72
driven,96
drivest,96
drone,84
droop,61
drop,51
dropping,90
dropt,60
drowse,83
drug,73
drugs,88
Druid,85
Druids,100
drunk,103
drunken,140
drunkenness,207
Duant,86
duck,67
dumb,89
dung,83
dusk,80
dust,72
dwell,46
dweller,73
dwellers,88
dying,76
each,23
eagerly,75
eagle,43
eaglet,52
ear,32
earnestly,112
earth,44
earthly,63
earthquake,120
ease,46
easier,60
easily,52
East,42
easy,51
eat,27
eaten,64
eater,54
eating,62
eats,42
echo,28
ecstasy,77
edge,60
effect,61
egg,35
eggs,50
Eight,36
eighteen,86
Eightfold,82
Eighth,39
Eighties,64
eighty,54
either,52
eld,37
Elements,109
Elephant,72
Eleusis,82
eleven,86
Elevenfold,132
else,42
Embassy,107
emblems,104
embrace,88
embraced,111
emerald,90
Emperor,89
emphatically,82
Empress,95
emptiness,114
empty,65
enamelled,114
enamels,92
encamp,69
enchantment,147
encircle,69
encloseth,90
encompass,109
end,60
ending,95
endless,104
endowed,114
endure,112
enemies,99
Enemy,89
enginery,117
English,67
engraven,126
engulph,81
enjoy,72
Enlightenment,165
enlightens,113
enmeshed,125
enough,86
enraptured,144
enslave,93
Enswathes,105
enter,73
entered,109
Enterer,100
enthroned,133
entirely,92
entrap,69
entwined,114
enveloped,123
equal,60
equally,79
equation,102
equilibrated,139
equilibrium,135
Equinox,94
equivalence,134
ere,40
erect,51
Eros,52
escape,52
especial,53
Especially,72
essence,95
establish,81
established,117
eternal,79
eternity,100
eucharist,86
eunuch,92
even,72
eventide,117
ever,62
ever-weeping,135
everlasting,127
every,80
everything,127
everywhere,131
evil,36
evoke,75
exalt,34
exalted,70
exceed,70
