word,value,count
avail,33,1
availed,69,1
Averse,82,1
awaking,70,1
awful,51,1
babes,73,1
Bacchus,72,1
back,44,1
bane,62,1
bank,66,1
Barren,90,1
bars,54,1
bathed,73,1
beat,47,1
beaten,84,1
beatitude,117,1
become,79,1
becometh,91,1
bed,56,1
bedecked,124,1
Beginnings,142,1
beholdest,107,1
beholding,105,1
belly,53,1
Bennu,106,1
bestow,75,1
bestrew,92,1
bewildereth,117,1
bezoar-stone,152,1
bind,67,1
bindeth,92,1
bitterness,132,1
blacken,82,1
blackness,112,1
blades,77,1
blaze,58,1
blessèd,100,1
Blind,68,1
bloom,62,1
blown,63,1
bolt,40,1
bonds,92,1
bone,67,1
born,68,1
Bosom,76,1
bound,102,1
boys,63,1
brave,74,1
break,69,1
breaketh,94,1
breathe,77,1
bride,70,1
brine,71,1
bringest,106,1
broken,98,1
brought,92,1
brown,76,1
brows,67,1
buds,83,1
burden,119,1
burnt,92,1
butterfly,121,1
by-way,69,1
byways,84,1
call,9,1
cancer,60,1
cannot,74,1
captain,49,1
car,21,1
caresses,92,1
casting,66,1
casts,46,1
cat,16,1
caught,55,1
celestial,59,1
cemented,118,1
central,68,1
cerastes,86,1
ceremony,115,1
chariot,43,1
chariots,58,1
charm,45,1
chaste,47,1
chid,28,1
Chinese,70,1
cipher,36,1
Circle,32,1
clasp,27,1
cleanse,73,1
clear,35,1
cleaveth,68,1
cling,38,1
closed,64,1
closer,55,1
clothed,61,1
clouds,76,1
cloudy,79,1
Cohesion,77,1
collar,33,1
colouring,97,1
colours,77,1
comely,65,1
cometh,58,1
compassed,108,1
concealed,93,1
Concourse,115,1
conqueror,128,1
consumed,133,1
Consummation,166,1
contaminated,145,1
contemneth,128,1
content,91,1
contented,127,1
continent,115,1
Conversation,148,1
convert,94,1
coral,32,1
Corinth,62,1
corn,50,1
corpse,58,1
corrupted,114,1
corrupts,93,1
couches,70,1
could,61,1
counted,106,1
countenance,151,1
coupled,78,1
crash,39,1
creature,95,1
creeks,74,1
criest,53,1
crieth,41,1
cross,56,1
Crush,59,1
crying,69,1
crystals,79,1
Cup,31,1
curls,57,1
dalliance,74,1
dalliest,67,1
dally,48,1
damsels,93,1
danced,90,1
dare,55,1
darkened,132,1
darkly-splendid,181,1
daughter,103,1
dawn,60,1
daytime,89,1
deadly,83,1
death-agony,121,1
death-kisses,128,1
Death-star,96,1
Debate,83,1
debated,106,1
decked,91,1
Deed,72,1
deeds,87,1
delighteth,85,1
Delightful,98,1
demand,109,1
demon,91,1
depart,68,1
descended,149,1
desert,87,1
despise,83,1
despised,106,1
destroy,102,1
destroyed,138,1
Destroyer,129,1
destruction,144,1
determine,130,1
devil,59,1
devourer,134,1
devoureth,132,1
diadem,85,1
diamonds,121,1
died,59,1
difference,126,1
dipping,66,1
dis-ease,84,1
discourse,117,1
discoursing,139,1
disease,84,1
disgust,98,1
dispelled,93,1
Dispersion,118,1
Disruption,124,1
dissolve,99,1
dissolving,121,1
distant,85,1
distressed,140,1
dive,58,1
dived,81,1
divers,87,1
divine,82,1
dogs,59,1
dolorous,108,1
Doric,49,1
doth,45,1
Doubt,87,1
dove,68,1
dragon,87,1
drained,102,1
drive,72,1
dropt,60,1
drunkenness,207,1
Duant,86,1
dung,83,1
dusk,80,1
dweller,73,1
dwellers,88,1
eaglet,52,1
earthquake,120,1
East,42,1
eats,42,1
eight,36,1
Eighth,39,1
